course_id,course_name,credits
C101,Python Programming,4
C102,Database Management Systems,3
C103,Artificial Intelligence,4
C104,Machine Learning,4
C105,Data Structures,3
C106,Operating Systems,3
C107,Computer Networks,3
C108,Software Engineering,3
C109,Web Development,3
C110,Cloud Computing,4
C111,Cyber Security,3
C112,Big Data Analytics,4
C113,Internet of Things,3
C114,Mobile App Development,3
C115,Data Mining,4
C116,Digital Signal Processing,3
C117,Embedded Systems,3
C118,Blockchain Technology,4
C119,Human Computer Interaction,3
C120,Compiler Design,4
