student_id,course_id
160,C110
153,C108
104,C116
138,C120
117,C108
109,C115
118,C104
115,C105
157,C106
134,C105
142,C105
145,C111
127,C111
115,C110
109,C104
129,C114
122,C101
103,C115
152,C116
119,C104
138,C116
116,C115
117,C106
158,C112
148,C108
128,C112
112,C109
110,C120
105,C112
104,C109
111,C109
130,C117
135,C106
129,C103
138,C103
140,C108
110,C108
130,C103
124,C117
109,C103
139,C105
113,C117
102,C102
140,C105
117,C117
120,C120
131,C112
121,C116
121,C117
155,C104
131,C111
145,C120
143,C102
155,C118
142,C110
133,C116
158,C107
155,C113
124,C101
152,C103
152,C101
145,C101
113,C107
126,C101
115,C105
158,C117
146,C110
102,C109
138,C120
135,C111
111,C104
143,C110
128,C109
122,C112
143,C118
154,C105
128,C119
129,C117
148,C116
137,C113
